Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
6/6/2020,Old Navy,OLD NAVY US 6715,33.94,debit,Clothing,CREDIT CARD,,
6/6/2020,Schnucks,SCHNUCKS COTTLEVILLE,270.58,debit,Groceries,CREDIT CARD,,
6/6/2020,Amazon,Amazon.com,3.79,debit,Shopping,CREDIT CARD,,
6/5/2020,SP * NICCOMSTORE,SP * NICCOMSTORE,20.99,debit,Gift,CREDIT CARD,,
6/5/2020,Target,TARGET.COM,42.72,debit,Shopping,CREDIT CARD,,
6/5/2020,Dierberg's,DIERBERGS 94 CROSSING,9.32,debit,Groceries,CREDIT CARD,,
6/5/2020,Amazon,Amazon.com,68.38,debit,Shopping,CREDIT CARD,,
6/4/2020,Jimmy John's,JIMMY JOHNS - 1386 - ECOM,25.72,debit,Restaurants,CREDIT CARD,,
6/4/2020,M1 FINANCE (MOFI ACH,M1 FINANCE (MOFI ACH,500,debit,Mortgage & Rent,Checking Account,,
6/2/2020,Cracker Barrel,DOORDASH*CRACKER BARRE,37.57,debit,Restaurants,CREDIT CARD,,
6/2/2020,BB&T MTG PAY,BB&T MTG PAY,1752.87,debit,Mortgage & Rent,Checking Account,,
6/1/2020,Old Navy,OLD NAVY ON-LINE,40.26,debit,Clothing,CREDIT CARD,,
6/1/2020,FONSECA HOMEGROWN PRODUCE,FONSECA HOMEGROWN PRODUCE,92.51,debit,Groceries,CREDIT CARD,,
6/1/2020,Venmo,VENMO PAYMENT,10,debit,Restaurants,Checking Account,,
6/1/2020,Zelle payment from Michael Shannon (Ally Interest Checking X,Zelle payment from Michael Shannon (Ally Interest Checking X,40,debit,Mobile Phone,Checking Account,,
5/31/2020,Phillips 66,PHILLIPS 66 - DIRT CHEAP,12.04,debit,Gas & Fuel,CREDIT CARD,,
5/31/2020,Phillips 66,PHILLIPS 66 - DIRT CHEAP,31.29,debit,Gas & Fuel,CREDIT CARD,,
5/31/2020,FARM AND HOME SUPPLY #2,FARM AND HOME SUPPLY #2,42.55,debit,Home Supplies,CREDIT CARD,,
5/31/2020,DOORDASH*FREDDYS FROZE,DOORDASH*FREDDYS FROZE,20.7,debit,Fast Food,CREDIT CARD,,
5/31/2020,Amazon,Amazon.com*MY84D2OB1,0.21,debit,Shopping,CREDIT CARD,,
5/31/2020,Amazon,Amazon.com*MY7HF9OI1,23.07,debit,Shopping,CREDIT CARD,,
5/31/2020,Amazon,Amazon.com*M71ZD4DF2,11.04,debit,Shopping,CREDIT CARD,,
5/31/2020,Amazon,AMZN Mktp US*M79HG6I90,16.99,debit,Shopping,CREDIT CARD,,
5/30/2020,COINBASE 8889087930 CA US,COINBASE 8889087930 CA US,180,debit,Hobby - Leaf,Checking Account,,
5/29/2020,Payroll$ 0070Jg DIR DEP~ Future Amount: 1588.45 ~ Tran: DDIR,Payroll$ 0070Jg DIR DEP~ Future Amount: 1588.45 ~ Tran: DDIR,1588.45,credit,Paycheck,Checking Account,,
5/29/2020,TAPESTRY SOLUTIO DIRECT DEP~ Future Amount: 2056.41 ~ Tran:,TAPESTRY SOLUTIO DIRECT DEP~ Future Amount: 2056.41 ~ Tran:,2056.41,credit,Paycheck,Checking Account,,
5/28/2020,DOORDASH*SUSHI AI,DOORDASH*SUSHI AI,52.51,debit,Restaurants,CREDIT CARD,,
5/28/2020,CHASE CREDIT CRD AUTOPAY,CHASE CREDIT CRD AUTOPAY,2556.11,debit,Credit Card Payment,Checking Account,,
5/28/2020,Venmo,VENMO PAYMENT,190,debit,Transfer,Checking Account,,
5/27/2020,Amazon,Amazon Prime*M74WH05C2,126.08,debit,Shopping,CREDIT CARD,,
5/27/2020,SPECTRUM,SPECTRUM,69.99,debit,Internet,CREDIT CARD,,
5/27/2020,Old Navy,OLD NAVY ON-LINE,4.77,debit,Clothing,CREDIT CARD,,
5/27/2020,AUTOMATIC PAYMENT - THANK,AUTOMATIC PAYMENT - THANK,2556.11,credit,Credit Card Payment,CREDIT CARD,,
5/26/2020,Phillips 66,PHILLIPS 66 - OZARK OIL C,22.3,debit,Gas & Fuel,CREDIT CARD,,
5/26/2020,Hulu,HLU*Hulu 1254157574093-U,5.99,debit,Movies & DVDs,CREDIT CARD,,
5/26/2020,DISCOVER E-PAYMENT,DISCOVER E-PAYMENT,197.19,debit,Credit Card Payment,Checking Account,,
5/26/2020,MISSOURI-AMERICA PAYMENT~ Future Amount: 20.96 ~ Tran: ACHDW,MISSOURI-AMERICA PAYMENT~ Future Amount: 20.96 ~ Tran: ACHDW,20.96,debit,Utilities,Checking Account,,
5/25/2020,Shell,SHELL OIL 57441190402,23.37,debit,Gas & Fuel,CREDIT CARD,,
5/25/2020,Shell,SHELL OIL 57441190402,22.59,debit,Gas & Fuel,CREDIT CARD,,
5/24/2020,Walgreens,WALGREENS #3687,60.02,debit,Pharmacy,CREDIT CARD,,
5/24/2020,Walgreens,WALGREENS #6059,6.47,debit,Pharmacy,CREDIT CARD,,
5/24/2020,McDonald's,MCDONALD'S F20374,7.53,debit,Fast Food,CREDIT CARD,,
5/24/2020,Directpay Full Balance,DIRECTPAY FULL BALANCE,197.19,credit,Credit Card Payment,Discover,,
5/22/2020,Netflix,NETFLIX.COM,12.99,debit,Movies & DVDs,CREDIT CARD,,
5/21/2020,CHASE CREDIT CRD AUTOPAY,CHASE CREDIT CRD AUTOPAY,71.39,debit,Credit Card Payment,Checking Account,,
5/21/2020,Amazon,AMZN Mktp US*M753I0P81,12.4,debit,Shopping,CREDIT CARD,,
5/21/2020,Amazon,AMZN Mktp US*M71CL5NP2,14.95,debit,Shopping,CREDIT CARD,,
5/20/2020,Interest Paid,Interest Paid,7.08,credit,Interest Income,Home Improvement Savings,,
5/20/2020,Interest Paid,Interest Paid,13.76,credit,Interest Income,Emergency Savings Account,,
5/20/2020,Interest Paid,Interest Paid,1.26,credit,Interest Income,Travel Saving Account,,
5/20/2020,Interest Paid,Interest Paid,0.87,credit,Interest Income,Checking Account,,
